Area Code,Local Authority Name,Area name,Area of Admin Geography,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Quality of Fit Indicator
00BCFZ,Redbridge,Barkingside,1526.58,16.6,50.3,3.4,20.4,0,0.1,4.2,0,4.9,0,100,0.42
00BCGA,Redbridge,Bridge,2579.16,8.9,30.2,2.1,14.5,0.9,0.3,36.9,0.5,5.6,0,100,3.22
00BCGB,Redbridge,Chadwell,1514.49,15.7,43,3.6,20.2,0.2,0.5,9.7,0,7.3,0,100,-1.03
00BCGC,Redbridge,Church End,1491.52,14,38,5.6,20.4,0.7,0.6,12.7,0.1,7.8,0,100,0.07
00BCGD,Redbridge,Clayhall,2491.48,11,36.3,4.1,15.2,0,0.2,24.8,0.3,8,0,100,-0.01
00BCGE,Redbridge,Clementswood,1271.49,15.6,36.2,9.6,21.7,0,0.6,7,0,9.3,0,100,-1.47
00BCGF,Redbridge,Cranbrook,2406.36,10.7,28,1.8,15.1,0,1.4,36.8,2,4.2,0,100,1.6
00BCGG,Redbridge,Fairlop,3593.98,7.3,21.6,3,8.8,2.2,0.8,50.3,0.1,5.9,0,100,4.46
00BCGH,Redbridge,Fullwell,2185.47,12.1,39.5,2.3,15.3,0,0.3,26,0,4.4,0,100,0.02
00BCGJ,Redbridge,Goodmayes,1647.73,13.2,35.9,2.3,15.6,3.9,1.1,23,0.9,4,0,100,0.81
00BCGK,Redbridge,Hainault,5641.78,4.9,16.2,2.8,7.5,0,0.4,63.9,0.6,3.7,0,100,-5.66
00BCGL,Redbridge,Loxford,1287.35,15.7,29,4.4,20.5,0.1,0.9,19.6,2.2,7.6,0,100,-1.27
00BCGM,Redbridge,Mayfield,1883.57,13.8,46.7,2,16.4,0,1.1,15.3,1.2,3.5,0,100,0.82
00BCGN,Redbridge,Monkhams,3074.6,9.5,36.7,2.2,11.7,0,0.3,35,0.5,4.1,0,100,1.26
00BCGP,Redbridge,Newbury,2116.62,12.2,37.3,4.4,15.3,2.8,0.2,21.9,0,5.8,0,100,-0.61
00BCGQ,Redbridge,Roding,2344.04,9.3,28.2,2.9,16.7,0.6,0.5,35.5,0.9,5.2,0,100,1.44
00BCGR,Redbridge,Seven Kings,2082.15,11.5,31.6,6.5,13.6,1.1,1.2,24.2,0.2,10.2,0,100,0.05
00BCGS,Redbridge,Snaresbrook,1985.54,13.1,39.8,4,15.7,0.6,0.7,18.7,1.6,5.9,0,100,0.02
00BCGT,Redbridge,Valentines,1502.46,16.2,41.1,5.2,18.5,4.6,0.1,9.6,1.1,3.5,0,100,-1.19
00BCGU,Redbridge,Wanstead,5197.62,5.5,16.3,0.8,8.3,0,0.5,61.9,4.4,2.2,0,100,0.38
00BDFW,Richmond upon Thames,Barnes,3009.72,8.5,20.7,2,9.5,0,1.8,31.6,21.1,4.8,0,100,1.91
00BDFX,Richmond upon Thames,East Sheen,5835.11,4.6,11.8,1,5.2,0.1,0.5,73.9,1,1.9,0,100,-1.72
00BDFY,Richmond upon Thames,Fulwell and Hampton Hill,1917.98,11.2,31.2,4.3,13.5,0.7,1,31.1,1.2,5.8,0,100,0.35
00BDFZ,Richmond upon Thames,"Ham, Petersham and Richmond Riverside",9446.01,2.4,8.1,1,4.4,0,0.8,76.6,4.1,2.5,0,100,0.4
00BDGA,Richmond upon Thames,Hampton,6876.82,3.5,12.4,1.8,5.4,0.4,0.7,60,10.2,5.6,0,100,2.37
00BDGB,Richmond upon Thames,Hampton North,1949.61,11,34.6,3.6,14.4,0,1.4,25.5,0.8,8.8,0,100,-0.47
00BDGC,Richmond upon Thames,Hampton Wick,2745.73,8.2,22.2,2.4,9.3,0,1,42.7,8.5,5.6,0,100,1.38
00BDGD,Richmond upon Thames,Heathfield,1912.03,11.1,38.9,1.6,15.3,0.4,0.4,26.6,1.6,4,0,100,-1.15
00BDGE,Richmond upon Thames,Kew,3574.7,7.4,18,3.3,9.6,0.7,0.7,46.6,3.9,9.7,0,100,-5.6
00BDGF,Richmond upon Thames,Mortlake and Barnes Common,1938.05,11.9,20.3,4.5,15,3,2.2,35.7,0.7,6.7,0,100,-3.81
00BDGG,Richmond upon Thames,North Richmond,2800.47,8,18.1,3.1,10.1,1.2,1,52.1,1.1,5.3,0,100,-2.86
00BDGH,Richmond upon Thames,St Margarets and North Twickenham,2006.48,12.3,32.2,5.2,16,1.5,0.8,19.7,2.9,9.3,0,100,-0.76
00BDGJ,Richmond upon Thames,South Richmond,2691.98,8.8,22.5,4.8,10.8,0.5,1.6,46.3,0.2,4.5,0,100,2.89
00BDGK,Richmond upon Thames,South Twickenham,1726.62,13,33.2,5.3,14,3.5,1.1,23.2,0.3,6.4,0,100,-1.7
00BDGL,Richmond upon Thames,Teddington,4296.26,5.4,14.3,3.7,7.2,0.5,0.7,62.1,1.5,4.5,0,100,-1.76
00BDGM,Richmond upon Thames,Twickenham Riverside,1962.13,10.7,25.9,5.4,12.1,0.5,1.5,25.2,10.9,7.7,0,100,-0.17
00BDGN,Richmond upon Thames,West Twickenham,2455.77,8,26.9,2.5,11.4,0,0.7,44.5,1.1,4.9,0,100,-0.12
00BDGP,Richmond upon Thames,Whitton,1622.84,12.4,42.1,2.9,16,1.3,0.5,19.2,0.4,5.3,0,100,0.98
00BEGC,Southwark,Brunswick Park,934.74,16.3,22,11.4,20.3,0.6,1.6,13.1,0,14.7,0,100,-1.64
00BEGD,Southwark,Camberwell Green,974.75,12.3,17.5,15.4,22.1,2.1,0.9,11.3,0,18.5,0,100,0.61
00BEGE,Southwark,Cathedrals,1763.21,8.9,4.6,24.3,25.1,5.5,0.6,11.9,1.6,17.5,0,100,-7.65
00BEGF,Southwark,Chaucer,822.5,7.4,3.7,19.4,24.7,0,1.7,21.7,0,21.4,0,100,-0.93
00BEGG,Southwark,College,3233.8,6.7,22.8,2.9,11.6,0.3,0.9,48,0.1,6.6,0,100,-0.17
00BEGH,Southwark,East Dulwich,1018.52,23.3,39.6,6.5,21.8,0.1,0.1,2.6,0,5.9,0,100,-0.37
00BEGJ,Southwark,East Walworth,1143.76,9.7,9.3,11.7,22.1,0,1.9,26.5,2.6,16.1,0,100,-1.08
00BEGK,Southwark,Faraday,876.83,12.1,8.9,7.1,19.9,0,2.2,35,0,14.8,0,100,-0.16
00BEGL,Southwark,Grange,1204.51,9.2,5.1,23.8,20.2,2.1,1.5,14.5,0,23.8,0,100,-0.41
00BEGM,Southwark,Livesey,1436.33,10.1,12.1,17.4,19.8,2.6,1.1,13,0,23.8,0,100,0.09
00BEGN,Southwark,Newington,832.3,14.1,14.2,11.5,22.5,2,1.2,18.9,0,15.5,0,100,-0.04
00BEGP,Southwark,Nunhead,1322,16.4,22.8,3.9,16.8,1.8,1.1,29.2,0,8.1,0,100,-0.73
00BEGQ,Southwark,Peckham,872.46,16.4,18.5,8.1,23.1,0,0.7,15.1,0,18.1,0,100,0.88
00BEGR,Southwark,Peckham Rye,2253.19,10,20.7,2.2,12.1,0,2.4,47.3,0.2,5,0,100,-0.26
00BEGS,Southwark,Riverside,1332.25,7.4,4.6,16.4,16.8,6.8,0.8,9.6,17.4,20.2,0,100,-2.22
00BEGT,Southwark,Rotherhithe,1492.39,8.1,9.2,8.4,16.9,1.1,3,29.7,4.8,18.8,0,100,-7.54
00BEGU,Southwark,South Bermondsey,973.18,13.5,15.2,10.8,23.8,0,1.3,18,0,17.4,0,100,-2.52
00BEGW,Southwark,South Camberwell,1331.47,11.9,25.3,5.4,16,1.7,1.1,28.5,0,10.2,0,100,-0.63
00BEGX,Southwark,Surrey Docks,1901.13,8.2,10.3,9.3,17.2,0,2,19.9,13.7,19.4,0,100,-18.66
00BEGY,Southwark,The Lane,1389.6,16.8,23.9,11,21.7,2.6,0.6,10.3,0,13.1,0,100,1.18
00BEGZ,Southwark,Village,2788.27,10.6,32.4,2.9,14,1.1,0.4,30.7,0.7,7.2,0,100,0.19
00BFGC,Sutton,Beddington North,4979.58,4.7,14.3,6.7,7.2,1.1,0.4,42.7,2.8,20.2,0,100,0.39
00BFGD,Sutton,Beddington South,3061.07,7.7,33.2,2.3,11,0,0.3,39.7,0,5.8,0,100,5.31
00BFGE,Sutton,Belmont,2337.1,10.9,51.7,2.9,13.6,0.4,0.4,14.7,0,5.4,0,100,-0.25
00BFGF,Sutton,Carshalton Central,2026.59,11.5,39.6,3.6,13.9,0.7,0.6,23.2,0.7,6.1,0,100,-0.49
00BFGG,Sutton,Carshalton South and Clockhouse,7055.96,4,20.1,0.7,5.5,0.1,0.2,67.1,0,2.2,0,100,-0.19
00BFGH,Sutton,Cheam,3937.73,9,50.3,1.6,11.5,0.3,0.3,24,0,2.9,0,100,0.12
00BFGJ,Sutton,Nonsuch,1906.44,12.9,53.5,3.4,13.9,0,0.5,9.4,0,6.3,0,100,-0.03
00BFGK,Sutton,St Helier,1499.68,11.9,36.1,3.3,17.1,1.2,0.8,23,0,6.5,0,100,0.72
00BFGL,Sutton,Stonecot,1981.02,11,38.7,4,14.8,0,1.4,21.3,0.1,8.6,0,100,-0.22
00BFGM,Sutton,Sutton Central,1309.55,14.4,24,14.7,20.5,0.1,1.6,11.4,0,13.2,0,100,0.33
00BFGN,Sutton,Sutton North,1874.95,11.2,38.7,2.9,14.9,0.2,1,24.8,0.3,6,0,100,-0.6
00BFGP,Sutton,Sutton South,1272.2,13.6,42.4,5,14.5,1.8,0.4,13.1,0,9.2,0,100,0.57
00BFGQ,Sutton,Sutton West,1779.05,12.5,37.7,3,14.3,2.2,0.6,23.7,0,6,0,100,0.03
00BFGR,Sutton,The Wrythe,1482.08,12.4,42.3,3.6,15.1,1.3,0.4,16.3,1,7.5,0,100,0.57
00BFGS,Sutton,Wallington North,1616.77,13.1,39.3,3.2,15.3,0.2,1.1,20.1,1.3,6.4,0,100,-0.71
00BFGT,Sutton,Wallington South,1719.3,13.7,46.6,4.3,15.1,0.9,0.8,11.2,0,7.5,0,100,0.12
00BFGU,Sutton,Wandle Valley,2054.72,9,24.9,5.3,12,0.1,1.1,39.2,1,7.3,0,100,-0.06
00BFGW,Sutton,Worcester Park,1957.05,11.3,42.4,2.6,12.3,0,0.8,25.5,0.1,5,0,100,-0.14
00BGFW,Tower Hamlets,Bethnal Green North,822.84,11.6,11.9,18.2,24.9,0.2,0.8,13,1.4,18.1,0,100,-1.26
00BGFX,Tower Hamlets,Bethnal Green South,881.38,10.8,10.4,12.3,22.5,6.9,1.5,18.8,0,16.8,0,100,1.25
00BGFY,Tower Hamlets,Blackwall and Cubitt Town,2966.85,2,2.3,4,6.6,0.4,0.4,6.3,69.9,8.1,0,100,130.01
00BGFZ,Tower Hamlets,Bow East,1858.26,7.7,6.9,12.2,19,1.3,1,31.5,3.1,17.2,0,100,-1.41
00BGGA,Tower Hamlets,Bow West,1347.18,11,12.7,5.3,19,0.4,2.5,38.1,4.3,6.8,0,100,-1.97
00BGGB,Tower Hamlets,Bromley-by-Bow,1074.15,7.6,9.4,15.6,19.9,1.5,0.6,14.5,4.4,26.4,0,100,0.11
00BGGC,Tower Hamlets,East India and Lansbury,1224.22,10.4,9.9,11.7,25.4,0.6,1.7,22.2,0.9,17,0,100,-3.72
00BGGD,Tower Hamlets,Limehouse,1141.83,9.2,12.3,12.6,23.3,3.2,1.5,14.1,3.1,20.7,0,100,-6.6
00BGGE,Tower Hamlets,Mile End and Globe Town,899.73,12,14.3,13,23.8,3.3,1.2,17.1,1.4,13.8,0,100,0.4
00BGGF,Tower Hamlets,Mile End East,1070.01,6.5,7.4,7,15.7,22.3,0.7,25.2,0.8,14.5,0,100,25.61
00BGGG,Tower Hamlets,Millwall,2458.42,6.7,7.7,18.1,17,1.2,0.6,8.4,14.1,26.2,0,100,-18.06
00BGGH,Tower Hamlets,St Dunstan's and Stepney Green,1018.17,14.1,16.5,9.2,23.3,0.1,1.5,15.9,1.1,18.2,0,100,-0.44
00BGGJ,Tower Hamlets,St Katherine's and Wapping,1505.69,8.1,4.5,19.3,18.7,0.2,1.4,14,9,24.8,0,100,-20.98
00BGGK,Tower Hamlets,Shadwell,962.7,8,7.4,14.9,21.4,0.1,0.6,11.9,8.6,27,0,100,-12
00BGGL,Tower Hamlets,Spitalfields and Banglatown,638.4,13.3,5.4,28.1,24.6,0,0.6,6,0,22.1,0,100,0.64
00BGGM,Tower Hamlets,Weavers,778.76,12.8,7.7,13.9,24.5,1.3,1.6,23.5,0,14.7,0,100,-0.28
00BGGN,Tower Hamlets,Whitechapel,917.85,11.3,6.6,23.2,27.1,3.4,0.9,8.9,0,18.5,0,100,2.8
00BHFX,Waltham Forest,Cann Hall,859.86,24.5,32.3,4.7,24,0,0.5,7.1,0,6.7,0,100,-1.28
00BHFY,Waltham Forest,Cathall,1056.63,16.2,23.1,4.6,20.5,2.8,1.6,22.7,0,8.3,0,100,-0.51
00BHFZ,Waltham Forest,Chapel End,1841.7,12.4,27.9,4.7,14.6,0,0.6,32.1,0.2,7.5,0,100,0.14
00BHGA,Waltham Forest,Chingford Green,3727.77,6.6,22,1.6,8,0.3,0.2,57.6,0.3,3.5,0,100,1.8
00BHGB,Waltham Forest,Endlebury,1959.2,12.7,43.6,1.7,13.3,0,0.6,21.4,2.7,4,0,100,2.24
00BHGC,Waltham Forest,Forest,1985,11.2,20.6,5.2,13.1,0.2,0.8,38.8,4.3,5.8,0,100,-0.44
00BHGD,Waltham Forest,Grove Green,897.97,25.4,35.8,4.3,25.1,0.1,0.4,4.2,0,4.5,0,100,-0.12
00BHGE,Waltham Forest,Hale End and Highams Park,2349.54,9.4,25.4,3.1,13.1,1,0.4,42.7,0.3,4.6,0,100,0.7
00BHGF,Waltham Forest,Hatch Lane,2418.22,9.6,32,1.9,12.5,0.8,0.4,37.4,1.5,3.8,0,100,-1.28
00BHGG,Waltham Forest,High Street,3061.36,7.2,9.8,3.8,7.6,1.2,0.6,30.5,28.9,10.4,0,100,-0.72
00BHGH,Waltham Forest,Higham Hill,3222.43,6.3,14.7,4.8,9.4,0,0.5,28,31.8,4.7,0,100,0.51
00BHGJ,Waltham Forest,Hoe Street,1097.18,19.8,29.9,6.1,20.1,0.4,1.3,14.6,0,7.8,0,100,-0.42
00BHGK,Waltham Forest,Larkswood,2068.95,11.2,31.7,3.4,12.6,0,1.3,32.7,0,7,0,100,-0.11
00BHGL,Waltham Forest,Lea Bridge,2645.38,8.8,14.9,9.6,11.8,0.9,1.1,37.3,1.8,13.9,0,100,-0.55
00BHGM,Waltham Forest,Leyton,2035.97,9,16.8,7.6,14.7,7.1,1.3,28,0.5,15,0,100,-0.44
00BHGN,Waltham Forest,Leytonstone,1310.3,17.7,34.6,5.7,23.4,1.3,0.9,9,0,7.4,0,100,-1.75
00BHGP,Waltham Forest,Markhouse,1453.86,14.7,20.9,4.1,15.4,2,1.1,31.7,1.1,9,0,100,-0.24
00BHGQ,Waltham Forest,Valley,1980.83,11.9,32,6.3,15.2,0,1.3,20.6,2.4,10.4,0,100,-1.47
00BHGR,Waltham Forest,William Morris,998.52,20.8,35.3,8.3,21,0,1.1,5.4,0.4,7.7,0,100,-1.28
00BHGS,Waltham Forest,Wood Street,1844.51,11.3,23.1,4.4,13.9,0.9,0.7,38.5,0.6,6.6,0,100,-0.05
00BJFZ,Wandsworth,Balham,1207.89,22.5,31.1,5.9,21.7,0,0.8,11.4,0,6.5,0,100,0.13
00BJGA,Wandsworth,Bedford,1803.66,14.1,21.7,2,13.9,4.3,1.1,38.7,0.8,3.4,0,100,2.49
00BJGB,Wandsworth,Earlsfield,1410.5,15.9,22.8,9.2,18.2,5.5,0.7,16,1.2,10.4,0,100,4.43
00BJGC,Wandsworth,East Putney,1609.24,14.8,35.2,6.7,19,0.2,0.9,11.7,0,11.6,0,100,-0.62
00BJGD,Wandsworth,Fairfield,1455.01,16.2,20.9,11.4,24.4,0.1,0.8,6.5,2.1,17.5,0,100,-5.54
00BJGE,Wandsworth,Furzedown,1413.27,17.7,33,3.4,18.5,4.7,1,15.1,0.3,6.3,0,100,4.09
00BJGF,Wandsworth,Graveney,1007.67,23.8,34.3,6.7,23.1,0.7,0.6,4.1,0.3,6.5,0,100,1.09
00BJGG,Wandsworth,Latchmere,1084.77,11.3,11.4,6.4,19.4,25.2,1,15.6,0,9.7,0,100,21.8
00BJGH,Wandsworth,Nightingale,1231.36,21.9,33.7,7,20.3,0.5,0.8,8.8,0,7,0,100,-1.29
00BJGJ,Wandsworth,Northcote,1678.63,17,18.7,4.4,17.3,3.2,1.2,33.6,0.6,3.9,0,100,-2.01
00BJGK,Wandsworth,Queenstown,3207.78,5.7,4.3,13.6,12.5,7.9,1.5,29.7,5.2,19.7,0,100,-8.1
00BJGL,Wandsworth,Roehampton,4423.94,3.5,8.7,3.5,8.7,0,1.7,66.5,0.9,6.5,0,100,-0.16
00BJGM,Wandsworth,St Mary's Park,1396.32,11.9,12.6,12.9,18.8,,0.5,9.6,13.7,20,0,100,-10.45
00BJGN,Wandsworth,Shaftesbury,947.71,27.8,27.1,6.5,26,0.7,0.6,6.4,0,4.9,0,100,-2.75
00BJGP,Wandsworth,Southfields,1521.65,17.4,26.7,10.7,17.3,1,0.9,16.4,0.4,9.3,0,100,-0.03
00BJGQ,Wandsworth,Thamesfield,1921.43,14.7,22,7.6,16.2,1.9,0.4,21.4,8.3,7.5,0,100,-7.64
00BJGR,Wandsworth,Tooting,1604.45,15.1,21.8,8.2,16.7,0,0.9,26.8,0,10.5,0,100,-0.42
00BJGS,Wandsworth,Wandsworth Common,2760.01,10.5,22.7,3.4,13.5,0.6,1.8,40.2,0.4,6.9,0,100,-1.06
00BJGT,Wandsworth,West Hill,1688.41,11.8,28.5,5.5,15.6,0.5,1.7,24,0.1,12.3,0,100,-1.06
00BJGU,Wandsworth,West Putney,1846.28,13.5,36.3,5.7,17.2,0,1,18.3,0.2,7.8,0,100,-0.18
00BKGA,Westminster,Abbey Road,1094.91,16,35.7,8.4,22.4,0.1,0.2,7.7,0,9.5,0,100,0.06
00BKGB,Westminster,Bayswater,518.02,23.2,21.9,9.3,26.7,8.1,0.6,5,0,5.3,0,100,-2.52
00BKGC,Westminster,Bryanston and Dorset Square,722.75,21.4,5.5,25.8,36,1.1,0.7,3.6,0,5.9,0,100,-0.13
00BKGD,Westminster,Churchill,609.19,11.1,8.7,14.7,21.1,8.6,1.2,9.6,7.3,17.7,0,100,-7.01
00BKGE,Westminster,Church Street,444.27,13.8,8.2,16.6,29.3,3.7,1.3,11.8,0.5,14.8,0,100,0.48
00BKGF,Westminster,Harrow Road,494.69,24.9,25.2,7.4,27.2,0,1.1,3.9,1.9,8.4,0,100,0.76
00BKGG,Westminster,Hyde Park,958.58,18.9,4.7,18.8,31.1,2.2,0.5,12.9,1.7,9.3,0,100,0.55
00BKGH,Westminster,Knightsbridge and Belgravia,3593.33,7.7,2.8,5.8,14.9,0,6.2,51.8,5.5,5.3,0,100,-0.06
00BKGJ,Westminster,Lancaster Gate,630.32,24.3,10.2,17.2,31.6,0.2,0.4,9.1,0,6.9,0,100,0.37
00BKGK,Westminster,Little Venice,635.76,18.1,19,6.6,26.2,0,1.3,18.6,3.4,6.9,0,100,-0.8
00BKGL,Westminster,Maida Vale,646.27,10.9,15.7,10.1,21.8,0,0.6,25.1,0,15.9,0,100,-0.04
00BKGM,Westminster,Marylebone High Street,1001.26,14.9,4.3,32.7,34.1,0,0.6,7.3,0,6,0,100,-0.1
00BKGN,Westminster,Queen's Park,583.27,29.7,26.2,4.3,30,0,0.7,4.8,0,4.3,0,100,0.17
00BKGP,Westminster,Regent's Park,2256.37,5.7,6.1,8,13.7,0.2,4.3,46.9,4.8,10.2,0,100,0.43
00BKGQ,Westminster,St James's,3467.63,6.5,1.2,26.9,24,0.1,2,20.2,8.5,10.5,0,100,-1.48
00BKGR,Westminster,Tachbrook,443.73,8.5,4.9,9.4,17.4,0,0.7,6.7,44.1,8.1,0,100,45
00BKGS,Westminster,Vincent Square,685.94,8.5,2.6,21.3,24.3,0,0.5,9.1,20.8,12.9,0,100,11.96
00BKGT,Westminster,Warwick,573.58,23.1,9.2,18.4,34.2,3.7,1,4.9,0,5.4,0,100,1.22
00BKGU,Westminster,Westbourne,674.34,9.8,9.3,13.2,23.1,5.8,2.3,19.2,2.5,14.8,0,100,-1.6
00BKGW,Westminster,West End,1995.72,14,1.6,42.2,31.9,0,0.5,3.5,0,6.3,0,100,-0.03
